03 juin 2022 07:30:06,854 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:30:06,951 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:30:07,019 [main] WARN  {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - SQL Error: 1054, SQLState: 42S22 
03 juin 2022 07:30:07,019 [main] ERROR {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - Unknown column 'Id' in 'where clause' 
03 juin 2022 07:30:07,028 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:30:41,291 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate ORM core version 6.0.2.Final 
03 juin 2022 07:30:42,471 [main] WARN  {org.hibernate.orm.connections.pooling} - HHH10001002: Using built-in connection pool (not intended for production use) 
03 juin 2022 07:30:42,479 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001005: Loaded JDBC driver class: com.mysql.cj.jdbc.Driver 
03 juin 2022 07:30:42,479 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001012: Connecting with JDBC URL [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:30:42,479 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001001: Connection properties: {password=****, user=root} 
03 juin 2022 07:30:42,480 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001003: Autocommit mode: false 
03 juin 2022 07:30:42,482 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001115: Connection pool size: 20 (min=1) 
03 juin 2022 07:30:42,671 [main] INFO  {SQL dialect} - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
03 juin 2022 07:30:42,673 [main] WARN  {org.hibernate.orm.deprecation} - HHH90000026: MySQL5Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead 
03 juin 2022 07:30:43,519 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Enseignant (class must be instantiated by Interceptor) 
03 juin 2022 07:30:43,646 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Etudiant (class must be instantiated by Interceptor) 
